scenario_id,hour,load_mw,wind_mw,solar_mw,thermal_dispatch_mw,charge_p10d4,discharge_p10d4,soc_p10d4,curtail_p10d4,shed_p10d4,charge_p20d2,discharge_p20d2,soc_p20d2,curtail_p20d2,shed_p20d2
1,4983,,,,,,,,,,0.0,0.0,3932.0,0.0,135.5378843999997
1,4984,9035.9972088,23.799999999999997,893.9000000000001,7450.0,0.0,0.0,3789.130525351799,0.0,668.2972087999997,,,,,
1,4985,9015.6539772,10.5,614.5,7526.0,0.0,486.21173793462134,3276.618353024367,0.0,378.4422392653787,,,,,
1,4986,8769.700906799999,45.1,176.20000000000002,7526.0,0.0,983.0,2240.445373042528,0.0,39.400906799999575,,,,,
1,4987,,,,,,,,,,0.0,764.9542059346215,432.0898555317173,0.0,144.88289206537866
1,4988,,,,,,,,,,0.0,0.0,432.0898555317173,0.0,805.7195783999996
1,5008,,,,,,,,,,0.0,183.83110953462133,2922.652407708315,0.0,271.5499752653777
1,5010,9018.2148732,426.1,355.7000000000001,7563.0,0.0,401.8648979346218,1556.8667265831373,0.0,271.5499752653777,,,,,
1,6063,8581.4198364,0.0,1503.1,6829.0,0.0,0.0,3932.0,0.0,249.31983639999999,,,,,
1,6065,,,,,,,,,,0.0,365.1889955346222,2812.0682797748054,0.0,421.7874832653779
1,6066,7975.110343199999,46.99999999999999,29.6,6841.0,0.0,983.0,1594.0984375315684,0.0,74.51034319999872,,,,,
1,6067,7905.1732704,94.2,0.0,6841.0,0.0,872.0159667346205,674.912900559894,0.0,97.95730366537919,,,,,
2,4984,9035.9972088,23.799999999999997,893.9000000000001,7501.0,0.0,0.0,3842.8892455746613,0.0,617.2972087999997,,,,,
2,4985,,,,,,,,,,0.0,0.0,3192.200854550483,0.0,889.6539771999996
2,4986,8769.700906799999,45.1,176.20000000000002,7501.0,0.0,983.0,1868.9386331329865,0.0,64.40090679999958,,,,,
2,4987,,,,,,,,,,0.0,715.3507203346221,1334.0974909127249,0.0,219.4863776653783
2,4988,8389.1195784,57.400000000000006,0.0,7501.0,0.0,403.27733913462123,458.4421693664538,0.0,427.4422392653787,,,,,
2,5006,9617.6803296,218.3,1666.6,7166.0,0.0,408.67802753462144,3026.506761002467,0.0,158.10230206537835,,,,,
